Datum,number-1,number-2,number-3,number-4,number-5,EZ-1,EZ-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
03.01.2020,35,41, 6,30,27, 5, 4,"43.682.096,00",Jackpot,"30.137.941,78",3,"618.829,60",4,"163.807,80",36,"6.066,90",721,"272,60",1.183,"129,20",1.800,"72,80",28.768,"23,50",34.020,"19,20",54.913,"17,10",159.435,"10,60",510.145,"8,10"
10.01.2020, 4,25,49,34,14, 9, 4,"48.843.082,00",Jackpot,"41.606.980,86",2,"1.037.915,40",9,"81.405,10",55,"4.440,20",858,"256,10",1.432,"119,30",2.801,"52,30",38.729,"19,50",41.380,"17,70",68.819,"15,20",199.781,"9,50",580.535,"8,00"
17.01.2020,49, 1,45,32,23,10, 5,"55.578.606,00",Jackpot,"54.575.274,98",2,"1.181.045,30",13,"64.129,10",41,"6.777,80",867,"288,40",1.544,"125,90",2.367,"70,40",33.739,"25,50",39.305,"21,20",74.672,"16,00",185.367,"11,60",577.487,"9,10"
24.01.2020, 5,29,48,20,12, 7, 9,"61.641.152,00",Jackpot,"69.077.356,96",5,"523.949,70",11,"84.056,10",77,"4.002,60",1.298,"213,70",2.126,"101,40",3.275,"56,40",44.441,"21,40",57.545,"16,00",92.558,"14,30",233.844,"10,20",788.806,"7,40"
31.01.2020,39,12, 1,23, 7, 4, 3,"72.820.190,00",Jackpot,"85.962.215,00",4,"773.714,50",15,"72.820,10",77,"4.728,50",1.717,"190,80",2.561,"99,50",4.024,"54,20",54.862,"20,50",78.469,"13,90",117.462,"13,30",275.123,"10,30",1.043.610,"6,60"
07.02.2020,44, 7,22,16,36, 3, 4,"85.698.106,00",1,"90.000.000,00",14,"1.391.535,60",14,"91.819,30",129,"3.321,60",2.274,"169,50",3.368,"89,00",4.397,"58,40",62.269,"21,30",85.751,"14,90",131.432,"14,00",322.138,"10,30",1.154.494,"7,00"
14.02.2020,30,49, 2, 6,32, 4, 1,"43.598.558,00",Jackpot,"13.129.481,94",3,"617.646,20",6,"108.996,30",39,"5.589,50",672,"291,90",1.238,"123,20",1.665,"78,50",25.608,"26,30",31.980,"20,40",57.261,"16,30",140.559,"12,00",475.581,"8,70"
21.02.2020,47,39,45,13, 2, 4, 6,"45.702.162,00",Jackpot,"24.019.622,46",2,"971.170,90",6,"114.255,40",45,"5.078,00",779,"264,00",1.324,"120,80",2.363,"58,00",34.505,"20,50",34.345,"19,90",61.720,"15,90",189.507,"9,40",514.431,"8,40"
28.02.2020,38,12,22,24,29, 5, 6,"48.439.194,00",Jackpot,"35.529.583,62",4,"514.666,40",7,"103.798,20",77,"3.145,40",1.049,"207,70",1.968,"86,10",2.716,"53,50",37.248,"20,10",46.600,"15,50",83.102,"12,50",184.393,"10,20",633.364,"7,30"
06.03.2020,35,36,41,19,15, 5,10,"53.320.028,00",Jackpot,"48.053.528,24",2,"1.133.050,50",3,"266.600,10",52,"5.126,90",778,"308,40",1.430,"130,50",2.144,"74,60",33.641,"24,50",37.333,"21,40",71.681,"15,90",176.936,"11,70",566.523,"8,90"
13.03.2020,17, 1,39,29,42, 7, 8,"58.758.288,00",Jackpot,"61.898.371,84",3,"832.409,00",8,"110.171,70",56,"5.246,20",1.147,"230,50",1.655,"124,20",2.683,"65,70",39.218,"23,20",50.742,"17,30",76.632,"16,40",211.044,"10,80",735.323,"7,60"
20.03.2020,30,37,28,14, 9,10, 3,"55.177.444,00",Jackpot,"75.402.179,52",4,"586.260,30",13,"63.666,20",66,"4.180,10",1.088,"228,20",2.032,"95,00",2.507,"66,00",34.177,"25,00",47.165,"17,50",87.374,"13,50",177.960,"12,00",654.298,"8,00"
27.03.2020,41,13,34,23,19, 3, 8,"62.034.472,00",Jackpot,"89.940.529,06",4,"659.116,20",6,"155.086,10",107,"2.898,80",1.353,"206,30",2.116,"102,60",4.762,"39,00",65.740,"15,20",58.089,"15,20",93.156,"14,30",324.956,"7,40",808.906,"7,30"
03.04.2020, 3,41,26,40,21, 8,10,"72.470.288,00",Jackpot,"90.000.000,00",4,"4.958.270,70",7,"155.293,40",55,"6.588,20",1.039,"313,80",2.042,"124,20",2.692,"80,70",39.726,"28,20",49.769,"21,80",97.331,"16,00",216.282,"13,00",754.661,"9,10"
