week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,02/01/,FR,48,38,29,42,16,5,6,"20,722,614.00  ",0  x   ,unbesetzt,2  x   ,"440,355.50  ",3  x   ,"103,613.00  ",27  x   ,"3,837.50  ",363  x   ,256.80  ,572  x   ,126.70  ,993  x   ,62.60  ,"14,226  x   ",22.50  ,"16,184  x   ",19.20  ,"26,347  x   ",16.90  ,"78,214  x   ",10.30  ,"236,538  x   ",8.30
2.,09/01/,FR,41,27,19,20,13,9,5,"20,796,592.00  ",0  x   ,unbesetzt,2  x   ,"441,927.50  ",1  x   ,"311,948.80  ",27  x   ,"3,851.20  ",355  x   ,263.60  ,708  x   ,102.80  ,849  x   ,73.40  ,"12,445  x   ",25.90  ,"16,700  x   ",18.60  ,"33,419  x   ",13.30  ,"63,308  x   ",12.80  ,"239,569  x   ",8.20
3.,16/01/,FR,4,48,1,14,32,5,6,"22,643,162.00  ",0  x   ,unbesetzt,3  x   ,"320,778.10  ",3  x   ,"113,215.80  ",26  x   ,"4,354.40  ",343  x   ,297.00  ,625  x   ,126.80  ,"1,060  x   ",64.00  ,"15,856  x   ",22.10  ,"17,014  x   ",19.90  ,"29,507  x   ",16.40  ,"87,266  x   ",10.10  ,"262,751  x   ",8.20
4.,23/01/,FR,30,2,32,14,13,3,1,"24,522,724.00  ",0  x   ,unbesetzt,3  x   ,"347,405.20  ",4  x   ,"91,960.20  ",21  x   ,"5,838.70  ",425  x   ,259.60  ,713  x   ,120.30  ,"1,240  x   ",59.30  ,"18,421  x   ",20.60  ,"20,146  x   ",18.20  ,"33,148  x   ",15.90  ,"95,867  x   ",9.90  ,"305,983  x   ",7.60
5.,30/01/,FR,4,3,11,8,41,2,8,"26,622,380.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"133,111.90  ",41  x   ,"3,246.60  ",514  x   ,233.00  ,841  x   ,110.70  ,"1,976  x   ",40.40  ,"29,247  x   ",14.70  ,"25,757  x   ",14.70  ,"38,756  x   ",14.70  ,"150,687  x   ",7.10  ,"352,425  x   ",7.10
6.,06/02/,FR,22,19,37,3,39,10,5,"28,584,936.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,5  x   ,"85,754.80  ",23  x   ,"6,214.10  ",591  x   ,217.60  ,"1,335  x   ",78.40  ,"1,033  x   ",78.40  ,"15,063  x   ",29.40  ,"23,854  x   ",17.90  ,"51,776  x   ",13.20  ,"78,867  x   ",13.20  ,"324,533  x   ",8.40
7.,13/02/,FR,14,48,46,3,7,6,9,"33,789,174.00  ",0  x   ,unbesetzt,3  x   ,"1,260,783.60  ",7  x   ,"72,405.30  ",40  x   ,"4,223.60  ",477  x   ,318.70  ,986  x   ,119.90  ,"1,282  x   ",79.00  ,"19,341  x   ",27.00  ,"25,232  x   ",20.00  ,"51,033  x   ",14.20  ,"101,472  x   ",12.90  ,"376,728  x   ",8.50
8.,20/02/,FR,18,29,16,44,1,7,2,"36,235,066.00  ",1  x   ,"49,670,283.00  ",5  x   ,"307,998.00  ",2  x   ,"271,762.90  ",49  x   ,"3,697.40  ",608  x   ,268.10  ,947  x   ,133.90  ,"2,277  x   ",47.70  ,"34,066  x   ",17.40  ,"29,096  x   ",17.40  ,"46,965  x   ",16.50  ,"189,366  x   ",7.70  ,"437,055  x   ",7.70
9.,27/02/,FR,30,9,49,28,43,10,8,"22,618,050.00  ",0  x   ,unbesetzt,2  x   ,"480,633.50  ",1  x   ,"339,270.70  ",14  x   ,"8,077.80  ",349  x   ,291.60  ,716  x   ,110.50  ,687  x   ,98.70  ,"10,079  x   ",34.70  ,"15,900  x   ",21.30  ,"32,280  x   ",16.00  ,"53,090  x   ",16.00  ,"235,030  x   ",9.10
10.,06/03/,FR,16,32,9,17,20,2,3,"22,741,730.00  ",0  x   ,unbesetzt,1  x   ,"966,523.50  ",2  x   ,"170,562.90  ",25  x   ,"4,548.30  ",435  x   ,235.20  ,614  x   ,129.60  ,"1,202  x   ",56.70  ,"15,873  x   ",22.20  ,"22,044  x   ",15.70  ,"30,514  x   ",15.70  ,"82,058  x   ",10.80  ,"319,094  x   ",6.80
11.,13/03/,FR,39,10,25,1,44,1,2,"24,461,202.00  ",0  x   ,unbesetzt,3  x   ,"346,533.60  ",6  x   ,"61,153.00  ",33  x   ,"3,706.20  ",405  x   ,271.70  ,695  x   ,123.10  ,"1,088  x   ",67.40  ,"15,386  x   ",24.60  ,"19,566  x   ",18.70  ,"32,293  x   ",16.20  ,"80,881  x   ",11.70  ,"285,995  x   ",8.10
12.,20/03/,FR,9 ,13 ,38 ,11 ,35 ,7,5,"24,946,150.00  ",0  x   ,unbesetzt,3  x   ,"353,403.70  ",3  x   ,"124,730.70  ",42  x   ,"2,969.70  ",545  x   ,205.90  ,838  x   ,104.10  ,"2,053  x   ",36.40  ,"28,191  x   ",14.00  ,"26,325  x   ",14.00  ,"37,894  x   ",14.00  ,"136,895  x   ",7.10  ,"367,093  x   ",6.40
13.,27/03/,FR,31 ,33 ,50 ,3 ,26 ,3,9,"26,468,490.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,4  x   ,"99,256.80  ",24  x   ,"5,514.20  ",406  x   ,293.30  ,753  x   ,123.00  ,"1,256  x   ",63.20  ,"19,251  x   ",21.30  ,"20,465  x   ",19.40  ,"35,938  x   ",15.80  ,"101,222  x   ",10.10  ,"305,353  x   ",8.20
14.,03/04/,FR,34 ,48 ,37 ,43 ,5 ,4,2,"28,452,636.00  ",0  x   ,unbesetzt,2  x   ,"1,167,073.90  ",3  x   ,"142,263.10  ",22  x   ,"6,466.50  ",485  x   ,263.90  ,765  x   ,130.10  ,"1,380  x   ",61.80  ,"21,112  x   ",20.80  ,"23,634  x   ",18.00  ,"36,781  x   ",16.60  ,"116,504  x   ",9.50  ,"354,094  x   ",7.60
15.,10/04/,FR,18 ,1 ,26 ,40 ,47 ,3,4,"31,413,308.00  ",0  x   ,unbesetzt,5  x   ,"267,013.10  ",5  x   ,"94,239.90  ",31  x   ,"5,066.60  ",512  x   ,276.00  ,836  x   ,131.50  ,"1,324  x   ",71.10  ,"21,213  x   ",22.90  ,"23,724  x   ",19.80  ,"37,419  x   ",18.00  ,"121,385  x   ",10.00  ,"368,157  x   ",8.10
16.,17/04/,FR,20 ,13 ,5 ,33 ,6 ,8,3,"38,178,262.00  ",0  x   ,unbesetzt,6  x   ,"313,607.10  ",1  x   ,"313,607.10  ",93  x   ,"2,052.50  ",907  x   ,189.40  ,"1,428  x   ",93.50  ,"3,073  x   ",37.20  ,"41,937  x   ",14.20  ,"39,662  x   ",14.20  ,"61,263  x   ",13.30  ,"201,696  x   ",7.30  ,"532,167  x   ",6.80
17.,24/04/,FR,33 ,27 ,17 ,46 ,4 ,3,9,"47,999,032.00  ",0  x   ,unbesetzt,7  x   ,"291,422.60  ",12  x   ,"59,998.70  ",90  x   ,"2,666.60  ","1,104  x   ",195.60  ,"1,918  x   ",87.50  ,"3,093  x   ",46.50  ,"40,043  x   ",18.50  ,"44,622  x   ",16.10  ,"78,229  x   ",13.10  ,"199,730  x   ",9.30  ,"600,434  x   ",7.60
